tahun,wilayah,kecamatan,jumlah
2020,Kepulauan Seribu,Kepulauan Seribu Utara,3
2020,Kepulauan Seribu,Kepulauan Seribu Selatan,3
2020,Jakarta Selatan,TEBET,7
2020,Jakarta Selatan,SETIABUDI,8
2020,Jakarta Selatan,MAMPANG PRAPATAN,5
2020,Jakarta Selatan,PASAR MINGGU,7
2020,Jakarta Selatan,KEBAYORAN LAMA,6
2020,Jakarta Selatan,CILANDAK,5
2020,Jakarta Selatan,KEBAYORAN BARU,10
2020,Jakarta Selatan,PANCORAN,6
2020,Jakarta Selatan,JAGAKARSA,6
2020,Jakarta Selatan,PESANGGRAHAN,5
2020,Jakarta Timur,MATRAMAN,6
2020,Jakarta Timur,PULOGADUNG,7
2020,Jakarta Timur,JATINEGARA,8
2020,Jakarta Timur,KRAMATJATI,7
2020,Jakarta Timur,PASAR REBO,5
2020,Jakarta Timur,CAKUNG,7
2020,Jakarta Timur,DUREN SAWIT,7
2020,Jakarta Timur,CIRACAS,5
2020,Jakarta Timur,MAKASAR,5
2020,Jakarta Timur,CIPAYUNG,8
2020,Jakarta Pusat,Gambir,6
2020,Jakarta Pusat,Sawah Besar,5
2020,Jakarta Pusat,Kemayoran,8
2020,Jakarta Pusat,Senen,6
2020,Jakarta Pusat,Cempaka Putih,3
2020,Jakarta Pusat,Menteng,5
2020,Jakarta Pusat,Tanah Abang,7
2020,Jakarta Pusat,Johar Baru,4
2020,Jakarta Barat,CENGKARENG,6
2020,Jakarta Barat,GROGOL PETAMBURAN,7
2020,Jakarta Barat,TAMAN SARI,8
2020,Jakarta Barat,TAMBORA,11
2020,Jakarta Barat,KEBON JERUK,7
2020,Jakarta Barat,KALIDERES ,5
2020,Jakarta Barat,PALMERAH,6
2020,Jakarta Barat,KEMBANGAN,6
2020,Jakarta Utara,PENJARINGAN,5
2020,Jakarta Utara,TANJUNG PRIOK,7
2020,Jakarta Utara,KOJA,6
2020,Jakarta Utara,CILINCING,7
2020,Jakarta Utara,PADEMANGAN,3
2020,Jakarta Utara,KELAPA GADING,3
